Investor Name,Total_Positions,Closed_Positions,Avg_Stock_Return_1Y,Avg_SPY_Return_1Y,Average_Alpha_1Y,Alpha_Score_0_to_1
Angus King,22,0,0.11380516270880113,0.050577923735466296,0.06322723897333483,0.5632272389733348
April McClain Delaney,78,25,-0.03283279357308274,0.053955476120553424,-0.08678826969363616,0.4132117303063638
Ashley Moody,6,1,0.37745225393105697,0.2489745693059611,0.12847768462509582,0.6284776846250958
Bernie Moreno,1,0,0.04039747489438465,-0.010653905442737014,0.051051380337121664,0.5510513803371216
Bill Keating,1,0,0.12181559980087864,0.03542441635612246,0.08639118344475619,0.5863911834447562
Bob Latta,5,0,0.026450955174249648,0.08476974762167291,-0.05831879244742329,0.4416812075525767
Brandon Gill,7,1,-0.047032156606388195,0.07176423383312083,-0.11879639043950904,0.38120360956049093
Bruce Westerman,106,98,-0.024885997525804476,-0.04606963611739853,0.02118363859159406,0.5211836385915941
Byron Donalds,29,12,0.0006934289355895476,0.0957381362049181,-0.09504470726932855,0.40495529273067143
Carol Miller,9,0,0.1954941417405974,0.1905747510080863,0.004919390732511097,0.5049193907325111
Chuck Fleischmann,27,9,0.062117612224551595,0.11216940188908787,-0.05005178966453628,0.4499482103354637
Cleo Fields,151,11,0.03941625803240636,0.048843450576267676,-0.00942719254386132,0.4905728074561387
Cliff Bentz,2,0,0.11368949573697856,0.11502770367751933,-0.0013382079405407782,0.4986617920594592
Dale Strong,1,0,-0.3393707858549277,-0.04764028313390109,-0.29173050272102663,0.20826949727897337
Dan Newhouse,28,1,0.08738943294015182,0.042858070211893425,0.0445313627282584,0.5445313627282584
Dave McCormick,12,0,-0.1720107267352925,0.1328279299219748,-0.30483865665726734,0.19516134334273266
David Taylor,63,26,0.028776445158043975,0.005053946620744968,0.02372249853729901,0.523722498537299
Debbie Wasserman Schultz,4,1,0.947940823513638,0.07540390348118466,0.8725369200324533,1.0
Dwight Evans,6,1,0.4321494745742686,0.20177188089906742,0.23037759367520116,0.7303775936752012
French Hill,4,0,0.09575438572956732,0.10987008712375021,-0.014115701394182889,0.4858842986058171
Gary Peters,4,0,0.04212646732096962,-0.03292259630962302,0.07504906363059263,0.5750490636305926
Gil Cisneros,487,142,-0.00126159957464966,0.01847340649975561,-0.01973500607440527,0.48026499392559474
Hal Rogers,1,0,0.23416964437327462,0.17806604490542866,0.05610359946784596,0.5561035994678459
Jared Moskowitz,43,5,0.1857567747008595,0.18735176486783556,-0.0015949901669760676,0.49840500983302394
Jefferson Shreve,155,139,0.06703085162016019,0.07057509015383494,-0.003544238533674758,0.49645576146632525
Jerry Moran,1,1,0.9660885775999816,0.18227758012545853,0.7838109974745231,1.0
Jim Banks,1,0,0.1269047501159137,0.055323534572066686,0.07158121554384703,0.571581215543847
John Boozman,103,28,0.05876133886170542,0.040689968754610034,0.01807137010709538,0.5180713701070954
John Fetterman,4,0,0.3984346363426885,0.11032331440682848,0.28811132193586003,0.78811132193586
John Hickenlooper,5,1,-0.1904255978472268,0.09017718302805774,-0.28060278087528456,0.21939721912471544
John McGuire,6,2,-0.16776032686373002,0.07744488135747167,-0.2452052082212017,0.25479479177879827
John Neely Kennedy,1,0,0.3756940475843237,0.30002663920518247,0.07566740837914121,0.5756674083791412
Jonathan Jackson,58,30,-0.02199579203697818,0.05436008941500822,-0.07635588145198641,0.4236441185480136
Josh Gottheimer,41,10,0.19639191091058997,0.15309703706959132,0.043294873840998616,0.5432948738409986
Julia Letlow,135,59,0.05062987330615132,0.09100965429335348,-0.04037978098720216,0.4596202190127978
Julie Johnson,26,23,0.05018257188909006,0.10208121622321845,-0.051898644334128385,0.4481013556658716
Katie Britt,16,7,0.2286609963452962,0.18224420862606797,0.04641678771922824,0.5464167877192282
Kelly Morrison,7,0,0.35780388511405675,0.21666916024947053,0.1411347248645862,0.6411347248645862
Kevin Hern,6,2,0.19392205601391,0.14810692641244835,0.045815129601461634,0.5458151296014616
Laurel Lee,1,0,-0.17391303671780953,0.06809997280277047,-0.24201300952058,0.25798699047942
Lindsey Graham,3,0,0.017962890837715354,0.04903492075626292,-0.031072029918547572,0.4689279700814524
Lisa McClain,605,573,0.038087741659683726,0.04541637187707576,-0.007328630217392036,0.49267136978260795
Lloyd Doggett,13,0,0.043760925319254955,0.05305073287156639,-0.009289807552311442,0.49071019244768854
Marjorie Taylor Greene,152,1,0.23573746829792347,0.13520835181866078,0.10052911647926269,0.6005291164792627
Markwayne Mullin,84,10,0.056653310255080816,0.030996381494947392,0.02565692876013342,0.5256569287601334
Michael Guest,1,0,0.022082693851348117,-0.010506489272695357,0.03258918312404348,0.5325891831240435
Michael McCaul,220,118,0.0834850865146249,0.07628275075676157,0.007202335757863339,0.5072023357578633
Mitch McConnell,2,0,-0.06058060500965108,0.05495952161769216,-0.11554012662734324,0.38445987337265675
Nancy Pelosi,11,0,-0.05299355229823823,-0.025261253620051872,-0.02773229867818636,0.4722677013218136
Neal Dunn,1,0,-0.05119957328320614,0.1271238694180878,-0.1783234427012939,0.3216765572987061
Nicole Malliotakis,1,0,0.061540194110465546,-0.026888505717130102,0.08842869982759564,0.5884286998275956
Pete Stauber,1,0,-0.17795746566023427,-0.030635985061500042,-0.14732148059873423,0.35267851940126577
Rich McCormick,24,4,0.047567711325505004,-0.01967744546726265,0.06724515679276766,0.5672451567927677
Richard Blumenthal,1,0,0.08948057378373601,0.11091148322958576,-0.021430909445849744,0.47856909055415026
Rick Allen,10,2,-0.08184706594083122,0.022478422173139452,-0.10432548811397066,0.3956745118860293
Rick Larsen,7,0,0.06436888236436332,0.00944162670003927,0.05492725566432405,0.5549272556643241
Ritchie Torres,4,4,0.06429742806667585,0.10333371205290803,-0.03903628398623217,0.46096371601376784
Ro Khanna,1164,437,0.05679003712184135,0.07290679555571536,-0.016116758433874005,0.483883241566126
Rob Bresnahan,143,16,0.19777688633254256,0.225690518409986,-0.027913632077443448,0.47208636792255654
Roger Williams,2,0,-0.006820300787790438,-0.03291333396611753,0.02609303317832709,0.5260930331783271
Scott Franklin,35,15,0.0413084710612291,0.12101421596405354,-0.07970574490282444,0.42029425509717555
Sheldon Whitehouse,3,0,0.020242244323820557,0.007916133184020117,0.01232611113980043,0.5123261111398004
Shelley Moore Capito,11,1,0.23054703044236272,0.05546928618524389,0.1750777442571188,0.6750777442571188
Sheri Biggs,6,0,0.13822811670634233,0.08271931482929636,0.05550880187704597,0.555508801877046
Shri Thanedar,1,0,-0.5305052178094884,0.1905747510080863,-0.7210799688175747,0.0
Steve Cohen,1,0,-0.1676994568119236,-0.04059048779584226,-0.12710896901608135,0.3728910309839186
Suzan DelBene,1,0,0.08147504773890976,0.13220526267188304,-0.05073021493297328,0.44926978506702675
Terri Sewell,2,0,0.49764513546755285,0.2735096090424571,0.22413552642509574,0.7241355264250957
Thomas Kean Jr,25,1,0.19566669826881677,0.14642389117104596,0.04924280709777081,0.5492428070977708
Tim Moore,126,32,0.11035696910997186,0.08792242849543068,0.02243454061454117,0.5224345406145412
